Título;Enlace;Fecha;Primeros_Párrafos;Topic
Golpe de Mossos, Policía Nacional, Europol y FBI a la mafia georgiana en Catalunya;https://www.lavanguardia.com/sucesos/20231114/9375938/macrooperacion-policial-mafia-georgiana-catalunya.html;14/11/2023;La unidad de domicilios de la División de Investigación Criminal Central de los Mossos d'Esquadra ha liderado, desde primera hora de la mañana del martes, una macrooperación policial contra una organización criminal transnacional dedicada a robos con fuerza en domicilios y blanqueo de capitales. La investigación se ha iniciado con al menos diez detenidos, todos de nacionalidad georgiana, con el área metropolitana de Barcelona como epicentro. Uno de los puntos que la policía ha registrado es un punto de envío y recogida internacional de paquetería en la calle Serrano de Barcelona, que supuestamente la organización usaba para trasladar material robado, han añadido fuentes policiales.;Sucesos
La Fiscalía anticorrupción golpea de nuevo al crimen organizado georgiano en Catalunya;https://www.lavanguardia.com/sucesos/20231115/9381477/fiscalia-anticorrupcion-golpea-nuevo-crimen-organizado-georgiano-catalunya.html;15/11/2023;Tres de los protagonistas de esta historia ya lo fueron en junio del 2018. La madrugada del 27 de junio de aquel año, más de un millar de policías nacionales y mossos d’esquadra accedieron a la vez a 74 domicilios de Alicante, Barcelona, Madrid y València y detuvieron a 130 personas, acusadas de liderar e integrar a la mafia armenia que se había asentado en España. La operación policial fue dirigida por los fiscales anticorrupción Juan José Rosa y José Grinda y por el valiente juez de instrucción de Terrassa, Jesús Iglesias. Cinco años después, los tres han vuelto a liderar una complicada y larga investigación, también con los Mossos y la Policía Nacional, y la colaboración de la policía de Georgia y el FBI, en la que se ha vuelto a golpear con dureza a las células de la mafia georgiana que trataba de nuevo de levantar cabeza como peligrosa organización criminal. Una investigación que tuvo una derivada en Estados Unidos, donde se arrestó, al mismo tiempo que en España, a tres georgianos. Entre la treintena de arrestados, la mayoría en Catalunya, pero también uno en Marbella, hay tresladrones de ley(vor zakonen). De la treintena de arrestados el lunes, 14 pasarán a disposición judicial este jueves en el juzgado 2 de Terrassa, el que dirige el magistrado Iglesias, que arrancó las investigaciones vinculadas con la mafia del Este en el 2016. En enero de ese año, dos personas fueron asesinadas en un piso de Terrassa, entre ellas Gela Garishvili, considerado uno de los responsables de la mafia georgiana en Europa. El titular del juzgado número 2 de Terrassa asumió la investigación y, en cuanto se detectaron las vinculaciones criminales de la víctima, el rol del ministerio público lo aceptaron dos fiscales anticorrupción especializados en las mafias del Este establecidos en Madrid que aquella vez, como ahora, han viajado reiteradamente a Catalunya para liderar y coordinar los equipos de investigación.;Sucesos
Al menos 21 detenidos en Catalunya en una operación contra el cultivo y tráfico de marihuana;https://www.lavanguardia.com/sucesos/20230927/9256191/operacion-tarragona-cultivo-trafico-marihuana.html;27/09/2023;Agentes de la Guardia Civil ha iniciado un importante dispositivo policial dirigido a desarticular toda la estructura de un grupo organizado asentado en Tarragona y Barcelona dedicado al cultivo y tráfico internacional de marihuana, tal y como apuntan en un comunicado. Según las comunicaciones de la benemérita, se han producido 16 registros en diferentes localizaciones, donde han sido detectadas y desmanteladas ocho plantaciones 'indoor' de marihuana altamente sofisticadas.;Sucesos
El presunto asesino de la app gay estuvo en Catalunya;https://www.lavanguardia.com/sucesos/20220519/8277051/asesino-app-gay-catalunya.html;19/05/2022;Lo admitió en su momento el consejero de Seguridad del Gobierno vasco, Josu Erkoreka, que compareció tras la entrega en una comisaría de Irun del sospechoso al que la Ertzaintza buscaba desde hacía meses como el posible autor de varias muertes en Bilbao. Dijo entonces el responsable de la policía vasca que el trabajo proseguía con mucha intensidad y que los investigadores estaban reconstruyendo los pasos de Nelson David M. B., dentro y fuera de Euskadi. Había constancia de al menos un viaje a Murcia, acompañando a la que entonces era su novia. No fue el único desplazamiento. El individuo también estuvo en Catalu­nya. Así lo han reconocido hasta ahora dos hombres que, tras ver su imagen en los medios de comunicación, acudieron a sendas comisarías de los Mossos d’Esquadra para explicar su relación con el acusado, según han con­firmado aLa Vanguardiavarias fuentes al tanto del caso. El primero de los individuos acudió la semana pasada a la comisaría de la policía catalana en Pineda. El hombre relató a los agentes que había conocido al colombiano que aparecía en los medios de comunicación acusado de ser el asesino de gais en el País Vasco. No tenía ni la menor duda. Aseguró que le invitó a su casa y que no tardó en darse cuenta de que el joven intentaba emborracharle o drogarle para que perdiera la conciencia con la intención de robarle. El hombre explicó que tenía experiencia en el consumo de sustancias estupefacientes, que intuyó con claridad las verdaderas intenciones del chaval, y decidió echarle a gritos. No había vuelto a saber nada más del joven hasta que tropezó con su retrato en las televisiones, donde era señalado como el hombre al que buscaba la Ertzaintza por la muerte de varios gais en Bilbao.;Sucesos
Los navajazos y las amenazas con arma blanca aumentaron un 44% en Catalunya en 2022;https://www.lavanguardia.com/sucesos/20230208/8742942/navajazos-amenazas-arma-blanca-aumentaron-44-catalunya-2022.html;08/02/2023;Hace un par de años un responsable policial manifestaba en privado su preocupación por “la cultura de la navaja” que empezaba a cuajar en algunos entornos. Era noviembre de 2021 y aquella noche un joven había muerto apuñalado en una pelea multitudinaria en las fiestas de Sant Andreu de Barcelona. Lo que hace un tiempo era un problema que se advertía en privado ahora la consejería de Interior ha dado la voz de alarma ante un fenómeno que ha aumentado de forma significativa en los últimos años. Los Mossos d’Esquadra han puesto en marcha un plan en toda Catalunya que consistirá en desplegar más controles para identificar y registrar a los portadores de navajas y objetos punzantes y tratar de reducir su presencia sobre todo en zonas de ocio. Los delitos en los que interviene algún tipo de armas blancas como cuchillos, puñales o navajas ya sea para agredir o para amenazar han aumentado un 44% respecto al 2019, el último año en el que los indicadores de seguridad no estaban afectados por la pandemia.;Sucesos
Las imágenes que ha dejado la lluvia con granizo de este domingo en Catalunya;https://www.lavanguardia.com/sucesos/20220822/8477728/imagenes-deja-lluvia-granizo-domingo.html;22/08/2022;Durante este pasado domingo por la tarde hubo precipitaciones muy intensas sobre todo en el Barcelonès, Osona, el Vallès Oriental, el Maresme y la Selva y que en algunos puntos dejaron granizo de más de 2 centímetros y rachas de viento de más de 70 kilómetros por hora. Los Bombers de la Generalitat recibieron entre las 20:00 horas de este domingo y las 07:00 de este lunes un total de 42 avisos por incidentes relacionados con las intensas lluvias caídas en la provinca de Barcelona.;Sucesos
Erkoreka confirma que el caso de las muertes a gais se extiende a Catalunya;https://www.lavanguardia.com/sucesos/20220521/8282695/erkoreka-confirma-caso-muertes-gais-extiende-catalunya.html;21/05/2022;El consejero vasco de Seguridad, Josu Erkoreka, confirmó ayer la información adelantada porLa Vanguardiaen relación a la presencia en Catalunya del hombre acusado de ser el responsable de al menos un asesinato en Bilbao. Una investigación que el responsable político de la Ertzaintza amplió también a Madrid y Valencia, donde se tiene constancia de que el joven colombiano estuvo campando. Erkoreka atendió a los medios de comunicación antes de acceder al pleno de control que se celebró en el Parlamento Vasco y respondió a las preguntas referidas a la información del jueves de este diario sobre los dos hombres que habían acudido a sendas comisarías de los Mossos d’Esquadra para asegurar haberse cruzado con el sospechoso en Catalunya.;Sucesos
Mossos y Policía Nacional frustran el intento de la ‘Mocro-Mafia’ holandesa de asentarse en Catalunya;https://www.lavanguardia.com/sucesos/20221026/8582443/mossos-policia-nacional-frustran-intento-mocro-mafia-holandesa-asentarse-cataluna.html;26/10/2022;Agentes de la Policía Nacional y Mossos d’Esquadra, con la intervención de la Policía de los Países Bajos han detenido a tres integrantes de la denominada ‘Mocro-Mafia’ holandesa, frustrando su intento de asentarse en Catalunya, donde tenían previsto blanquear, a partir de diversos negocios y adquisición de bienes, dinero proveniente del narcotráfico. Las pesquisas arrancaron una vez se constituyó, en febrero de 2021, un Equipo Conjunto de Investigación (ECI), entre Policía Nacional y Mossos d’Esquadra, con el objetivo de esclarecer delitos de robos con fuerza en cajeros automáticos mediante gases explosivos en varios países de la Unión Europea.;Sucesos
Cuatro detenidos de una banda internacional que robaba en chalets habitados en Catalunya y Madrid;https://www.lavanguardia.com/sucesos/20220805/8451657/cuatro-detenidos-banda-internacional-robaba-viviendas-cataluna-madrid.html;05/08/2022;La Guardia Civil ha detenido a cuatro personas que integraban un grupo criminal especializado en robos con fuerza en viviendas habitadas, a los que se les atribuye una decena de delitos cometidos en la Comunidad de Madrid y en varios puntos de Catalunya. La investigación, en el marco de la operación Habitat-Bidasoa, ha sido llevada a cabo por la Guardia Civil y la Policía Judicial de la Prefectura de París en Francia, ya que se estima que los detenidos conformaban una célula itinerante a nivel internacional.;Sucesos
Detenido un alumno de la Escuela de Policía de Catalunya por abusos sexuales a compañeras;https://www.lavanguardia.com/sucesos/20220430/8234015/detenido-alumno-escuela-policia-catalunya-abusos-companeras.html;30/04/2022;Un aspirante a agente de la Guardia Urbana de Barcelona que estudiaba en la Escuela de Policía de Mollet del Vallès ha sido detenido como presunto autor de abusos sexuales a cuatro compañeras de curso el pasado fin de semana, han confirmado fuentes de los Mossos. El hombre, según ha adelantado el digitalCrónica Globaly ha podido confirmarLa Vanguardia, está casado, tiene hijos y habría abusado de sus compañeras de estudios en la noche del pasado sábado en un local de Sabadell tras una cena organizada para celebrar el paso del ecuador en el curso de formación que siguen en la Escuela de Policía.;Sucesos
